epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1712.79,0.7604,1.31665,0.54437,1.09047,0.91697,0.83121,0.88926,0.6895,0.92407,0.81387,0.87327,0.64947,0.84007,1.31379,0.5461,1.13957,0.000515,0.000515,0.000515
77,1735.47,0.75778,1.29378,0.53496,1.08149,0.88065,0.82246,0.88121,0.66973,0.89616,0.79706,0.86867,0.62807,0.85006,1.38307,0.57765,1.1286,0.0004952,0.0004952,0.0004952
78,1757.95,0.73262,1.29295,0.53713,1.07294,0.91744,0.83439,0.89321,0.69527,0.91861,0.83439,0.885,0.64162,0.84115,1.35651,0.5389,1.11556,0.0004754,0.0004754,0.0004754
79,1780.56,0.71917,1.27639,0.52145,1.07346,0.93325,0.81847,0.88539,0.68491,0.92354,0.80573,0.86716,0.62963,0.85706,1.37143,0.55611,1.129,0.0004556,0.0004556,0.0004556
80,1802.91,0.72665,1.27477,0.52629,1.05891,0.92767,0.81692,0.88302,0.68141,0.91181,0.80892,0.86372,0.64008,0.84582,1.35881,0.57065,1.12508,0.0004358,0.0004358,0.0004358
81,1825.27,0.7377,1.31379,0.528,1.07689,0.94615,0.80573,0.87861,0.67789,0.91614,0.80573,0.86703,0.6291,0.88391,1.37725,0.59484,1.13668,0.000416,0.000416,0.000416
82,1847.58,0.72442,1.3039,0.5202,1.0734,0.95809,0.80085,0.88511,0.68847,0.92955,0.79299,0.86938,0.6337,0.82091,1.35927,0.5585,1.11956,0.0003962,0.0003962,0.0003962
83,1869.97,0.72058,1.27895,0.51594,1.06483,0.92329,0.82803,0.87657,0.67752,0.91618,0.82166,0.86195,0.62797,0.84841,1.3481,0.57775,1.13782,0.0003764,0.0003764,0.0003764
84,1892.29,0.70467,1.26888,0.48946,1.06339,0.89408,0.83121,0.88552,0.69961,0.92108,0.81774,0.87301,0.64696,0.79932,1.31689,0.51939,1.1138,0.0003566,0.0003566,0.0003566
85,1914.66,0.7086,1.24033,0.50571,1.05452,0.93863,0.81529,0.89215,0.6916,0.93726,0.80874,0.87524,0.6437,0.81701,1.34816,0.55581,1.12987,0.0003368,0.0003368,0.0003368
86,1937.9,0.71186,1.2863,0.49664,1.06558,0.94829,0.8177,0.89152,0.69449,0.9434,0.80892,0.87394,0.62834,0.83533,1.37935,0.53392,1.13787,0.000317,0.000317,0.000317
87,1960.57,0.70256,1.26268,0.48443,1.0502,0.94133,0.79618,0.88599,0.69276,0.9402,0.79618,0.87679,0.63845,0.82798,1.35073,0.54793,1.12012,0.0002972,0.0002972,0.0002972
88,1983,0.71071,1.26987,0.49988,1.06636,0.93507,0.8256,0.8955,0.69585,0.9369,0.81847,0.8787,0.64546,0.81565,1.38218,0.53128,1.10929,0.0002774,0.0002774,0.0002774
89,2005.51,0.67669,1.2209,0.47256,1.05063,0.93702,0.80549,0.8931,0.69755,0.93702,0.80549,0.88531,0.63371,0.81128,1.36568,0.53433,1.11022,0.0002576,0.0002576,0.0002576
90,2027.99,0.67796,1.20644,0.47923,1.04304,0.94282,0.83439,0.89434,0.70133,0.93922,0.83121,0.8914,0.63959,0.8138,1.37179,0.51914,1.11317,0.0002378,0.0002378,0.0002378
91,2050.77,0.60254,1.08062,0.39765,1.00601,0.92303,0.83758,0.89219,0.68827,0.91601,0.83121,0.87919,0.6378,0.81972,1.36394,0.52313,1.12846,0.000218,0.000218,0.000218
92,2073.25,0.60441,1.06554,0.39263,1.01255,0.93803,0.81948,0.88491,0.69248,0.93803,0.81948,0.88096,0.64059,0.82695,1.3414,0.52638,1.1326,0.0001982,0.0001982,0.0001982
93,2095.61,0.57688,1.03842,0.37349,0.9923,0.92822,0.83121,0.88823,0.6893,0.93881,0.83062,0.88292,0.63656,0.82704,1.34123,0.52281,1.13411,0.0001784,0.0001784,0.0001784
94,2117.96,0.57831,1.03958,0.3643,0.99766,0.9397,0.84365,0.90083,0.69399,0.93202,0.8296,0.87831,0.63826,0.81499,1.3559,0.51923,1.13265,0.0001586,0.0001586,0.0001586
95,2140.33,0.57716,1.03,0.36975,0.99618,0.94226,0.84076,0.89864,0.6928,0.93512,0.83439,0.87857,0.64086,0.84291,1.35406,0.51769,1.14049,0.0001388,0.0001388,0.0001388
96,2162.69,0.57739,1.02282,0.35749,0.99255,0.94255,0.83601,0.89329,0.69042,0.92871,0.83121,0.88138,0.63959,0.84132,1.37145,0.51736,1.12926,0.000119,0.000119,0.000119
97,2185.04,0.56211,1.01061,0.35941,0.98979,0.94532,0.82585,0.89473,0.68949,0.9439,0.82166,0.87799,0.63654,0.84085,1.36278,0.51412,1.1411,9.92e-05,9.92e-05,9.92e-05
98,2207.41,0.5717,1.0297,0.3577,0.99188,0.94457,0.83758,0.89911,0.69719,0.93738,0.83121,0.87809,0.63797,0.82095,1.36325,0.5044,1.12668,7.94e-05,7.94e-05,7.94e-05
99,2229.8,0.552,0.99587,0.34534,0.98504,0.95319,0.82484,0.90015,0.69479,0.9533,0.82166,0.88094,0.64069,0.83019,1.35562,0.50984,1.13096,5.96e-05,5.96e-05,5.96e-05
100,2252.26,0.54696,1.0002,0.34258,0.97666,0.91411,0.84736,0.90104,0.69602,0.94474,0.82803,0.88237,0.64614,0.8215,1.35132,0.50944,1.12669,3.98e-05,3.98e-05,3.98e-05
